;Title;Author;Type;Venue;Year;;;
;Venturi Multiphase Flow Measurement based Active Slug Control;S. G. Nnabuife, J. Whidborne, L. Lao and Y. Cao;;ICAC;2019;;;
;Optimal Generalized Predictive Functional Control with Applications to Extended PID Control for Quadruple Tank;S. Alotaibi and M. Grimble;;ICAC;2019;;;
;Hierarchical Topic Modeling for Urdu Text Articles;A. Ur Rehman, A. H. Khan, M. Aftab, Z. Rehman and M. A. Shah;;ICAC;2019;;;
;A Novel HRRP Target Recognition Method Based on LSTM and HMM Decision-making;J. Tu, T. Huang, X. Liu, F. Gao and E. Yang;;ICAC;2019;;;
;Data-driven Distribution Tracking for Stochastic Non-linear Systems via PID Design;Q. Zhang and H. Yue;;ICAC;2019;;;
;A new machine learning technique for predicting traumatic injuries outcomes based on the vital signs;F. Almaghrabi, D. -L. Xu and J. -B. Yang;;ICAC;2019;;;
;Coronary Artery Bypass Grafting (CABG) Anatomy with E-Learning Environment;K. S. Awaisi, M. Ali Shah, D. Iqbal and T. R. Abbasi;;ICAC;2019;;;
;Barriers of Requirement Change Management Process in the Context of Global Software Development;M. Umair, M. A. Shah and M. Hamza Sarwar;;ICAC;2019;;;
;"Analyzing Quality of Software Requirements; A Comparison Study on NLP Tools";A. Naeem, Z. Aslam and M. A. Shah;;ICAC;2019;;;
;Network of ECUs Software Update in Future vehicles;M. H. Sarwar, M. Ali Shah, M. Umair and S. H. Faraz;;ICAC;2019;;;
;Entropy-based Extended Kalman Filtering for Stochastic Non-linear Systems with Polynomial Compensation;Q. Zhang, Z. Hu and L. Hu;;ICAC;2019;;;
;An Aspect of Internet of Things Security: Analysis of Digital Fingerprinting of Generic Twitter Sessions by Using Forensic Tool;A. Aslam, S. M. Maher, L. Kanwal and M. A. Shah;;ICAC;2019;;;
;Image processing algorithm to determine an optimised 2D laser cutting trajectory;W. P. Syam et al.;;ICAC;2019;;;
;Reconstruction based Fault Prognosis in Dynamic Processes using Canonical Variate Analysis;K. E. S. Pilario, Y. Cao, M. Shafiee and L. Lao;;ICAC;2019;;;
;Heavy duty vehicle fuel consumption modeling using artificial neural networks;O. Wysocki, L. Deka and D. Elizondo;;ICAC;2019;;;
;Auto-updating of Sampling Time Redesign for System Identification under Parameter Uncertainty;K. Wang and H. Yue;;ICAC;2019;;;
;Modeling and analysis of hydraulic braking system of low-floor tram based on AMESim;N. Zhu, K. Gao, D. Yan, P. Dong, R. Du and W. Wu;;ICAC;2019;;;
;Secure Data Aggregation Mechanism for Water Distribution System using Blockchain;H. H. M. Mahmoud, W. Wu and Y. Wang;;ICAC;2019;;;
;Quantum Automated Object Detection Algorithm;L. Hu and Q. Ni;;ICAC;2019;;;
;A calculation cost reduction method for a log-likelihood maximization in word2vec;S. Nakamura and M. Kimura;;ICAC;2019;;;
;Steel Surface Defect Detection Using GAN and One-Class Classifier;K. Liu, A. Li, X. Wen, H. Chen and P. Yang;;ICAC;2019;;;
;Ant Colony Optimization Algorithm for Industrial Robot Programming in a Digital Twin;R. Bansal, M. A. Khanesar and D. Branson;;ICAC;2019;;;
;Fault Diagnosis of Planetary Gear System Based on Nonlinear Time-varying Dynamic Model Analysis;Y. Liu, H. Zhang, D. Zhen, H. Zhang, Z. Shi and F. Gu;;ICAC;2019;;;
;User requirements dynamic elicitation of complex products from social network service;X. Han, R. Li, W. Li, G. Ding and S. Qin;;ICAC;2019;;;
;Disturbance Observer Based Fast Terminal Sliding Mode Control for Lower Limb Prosthesis;P. Yang, X. Lu and J. Sun;;ICAC;2019;;;
;Broken Rotor Bar Detection Using Mathematical Morphology Based on Instantaneous Induction Motor Electrical Signals Analysis;H. Li, D. Zhen, F. Otuyemi, F. Gu and A. D. Ball;;ICAC;2019;;;
;Advanced Failure Prevention Mechanisms for Unmanned Aerial Vehicles;K. Thannapalan, M. Bowkett and E. Constant;;ICAC;2019;;;
;Airborne Acoustic Signature Analysis for Fault Diagnosis of Reciprocating Compressors Using Modulation Signal Bi-spectrum;D. Mondal, U. Haba, F. Gu and A. Ball;;ICAC;2019;;;
;Real-Time Wireless Vibration Logger Skeleton Run;S. Sivanathan, A. Oleon, K. K. T. Thanapalan and P. McCarthy;;ICAC;2019;;;
;An Intelligent Process Fault Diagnosis System Integrating Andrews Plot, PCA and Neural Networks;S. Wang and J. Zhang;;ICAC;2019;;;
;Combining Deep Neural Network with Traditional Classifier to Recognize Facial Expressions;Z. Fei, E. Yang, D. Li, S. Butler, W. Ijomah and H. Zhou;;ICAC;2019;;;
;Defect detection on EL images based on deep feature optimized by metric learning for imbalanced data;K. Liu, J. Han, H. Chen, H. Yan and P. Yang;;ICAC;2019;;;
;Modulation Signal Bispectrum Analysis of Acoustic Signals for the Impeller Wear Detection of Centrifugal Pumps;A. Daraz, S. Alabied, F. Gu and A. D. Ball;;ICAC;2019;;;
;An Augmented Reality Application for Personalised Diamond Shopping,;O. A. Egaji, I. Asghar, W. Warren, M. Griffiths and S. Evans;;ICAC;2019;;;
;Fault Diagnosis for Planetary Gearbox Using On-Rotor MEMS Sensor and EMD Analysis;Z. Mones, I. Alqatawneh, D. Zhen, F. Gu and A. D. Ball;;ICAC;2019;;;
;Motor Current Signal Analysis Based on Machine Learning for Centrifugal Pump Fault Diagnosis;S. Alabied, A. Daraz, K. Rabeyee, I. Alqatawneh, F. Gu and A. D. Ball;;ICAC;2019;;;
;An Improved Two-stream 3D Convolutional Neural Network for Human Action Recognition;J. Chen, Y. Xu, C. Zhang, Z. Xu, X. Meng and J. Wang;;ICAC;2019;;;
;Hybrid Localization techniques in LoRa-based WSN;A. A. ElSabaa, M. Ward and W. Wu;;ICAC;2019;;;
;Fire Risk Prediction Using Multi-Source Data: A case study in Humberside area;T. T. Dang, Y. Cheng, J. Mann, K. Hawick and Q. Li;;ICAC;2019;;;
;Fault Diagnosis of Broken Rotor Bar in AC Induction Motor based on A Qualitative Simulation Approach;A. Alashter, F. Gu, A. D. Ball and Y. Cao;;ICAC;2019;;;
;Evaluation of the Impact of Traffic Congestion Based on SUMO;F. Malik, H. A. Khattak and M. Ali Shah;;ICAC;2019;;;
;A Novel Wavelet Thresholding Method for Vibration Data Denoising and Diagnostic Feature Enhancement in Condition Monitoring;K. Rabeyee, Y. Xu, F. Gu and A. D. Ball;;ICAC;2019;;;
;Dual Stage Augmented Colorful Texture Synthesis from Hand Sketch;J. Liu et al.;;ICAC;2019;;;
;A Dynamic Hand Gesture Recognition Model Based on the Improved Dynamic Time Warping Algorithm;Y. Li et al.;;ICAC;2019;;;
;Multiple Actuator Fault Classification in Wind Turbine Systems Using Multi-linear Principal Component Analysis Techniques;Y. Fu, Y. Liu and Z. Gao;;ICAC;2019;;;
;Developing Robust Nonlinear Models through Bootstrap Aggregated Deep Belief Networks;C. Zhu and J. Zhang;;ICAC;2019;;;
;Design Optimization of Resource Allocation in OFDMA-based Cognitive Radio-enabled Internet of Vehicles (IoVs);J. Eze, E. Eze, S. Zhang and E. Liu;;ICAC;2019;;;
;Maximum Likelihood Evidential Reasoning-Based Hierarchical Inference with Incomplete Data;X. Liu, S. Sachan, J. Yang and D. Xu;;ICAC;2019;;;
;Consensus-based Hierachical Demand Side Management in Microgrid;J. Ma and X. Ma;;ICAC;2019;;;
;Design of an Automatic Lotus Plumule Removing Machine;Q. Ma et al.;;ICAC;2019;;;
;Visual Saliency Detection Via Background Features and Object-Location Cues;M. Jian, J. Wang and H. Yu;;ICAC;2019;;;
;Optimization of Modeling Parameters for Temperature Field of Iron Ore Fines Sintering Based on Sintering Velocity;D. Liu, C. Tang, X. Shi, H. Cao and J. Li;;ICAC;2019;;;
;Robust Passivity of Coupled Cohen-Grossberg Neural Networks with Reaction-Diffusion Terms;Y. Huang, J. Wang and E. Yang;;ICAC;2019;;;
;Review of the Vibration Isolation Technology of Submarine Thrust Bearing;Z. Yuanchao, X. Wei, L. Zhengmin and H. Jiangyang;;ICAC;2019;;;
;Multi-Segment Deep Convolution Neural Networks for Classification of Faults in Sensors at Railway Point Systems;S. Sachan and N. Donchak;;ICAC;2019;;;
;Non-intrusive Load Identification Method Based on Integrated Intelligence Strategy;R. Zhiren, T. Bo, W. Longfeng, L. Hui, L. Yanfei and W. Haiping;;ICAC;2019;;;
;A Modeling and Parameter Optimization Approach for a Pendulum Wave Energy Converter;D. Liu, H. Yang, X. Chen and J. Xiang;;ICAC;2019;;;
;Stochastic H∞ Filtering for Complex-valued Generalized Neural Networks with Brownian Motions and Time Delays;Z. Chen and D. Liu;;ICAC;2019;;;
;Study on wind turbine drive train faults based on a semi-physical simulation platform;B. J. Xiang, Z. Wu, Q. Shi, B. liu and H. Jiang;;ICAC;2019;;;
;An Application to Automate Assessment in a Computer Networking Laboratory;N. Palmer;;ICAC;2019;;;
;Temperature Field Simulation and Experimental Analysis of Laser Cladding 45 Steel;L. -j. CUI, S. -h. ZHANG, S. -r. Guo, W. -h. Zeng, Y. -l. Cao and H. Du;;ICAC;2019;;;
;Hybrid Load Identification Model Based on Grey Wolf Optimization Algorithm;L. Xinwei, R. Zhiren, T. Bo, L. Hui, Y. Rui and W. Haiping;;ICAC;2019;;;
;Absolute Stability Results for Low Gain Integral Control Problem of Neutral Type in the Presence of Quantization;I. Davies and O. C. L. Haas;;ICAC;2019;;;
;A SoC-based acceleration method for UAV runway detection image pre-processing algorithm;M. Ning;;ICAC;2019;;;
;Machine Learning Enhanced NARMAX Model for Dst Index Forecasting;Y. Gu, H. -L. Wei, M. A. Balikhin, R. J. Boynton and S. N. Walker;;ICAC;2019;;;
;An Effective Pipeline for Pedestrian Detection in Mid-High Density Crowd;Y. Hao, D. Gledhill, Y. Liu, J. Fan and Z. Xu;;ICAC;2019;;;
;An Individual Blade Pitch Control Strategy for Floating Offshore Wind Turbine Bearing Coupling of Dynamic Loads;Y. Liang, L. Zhou, B. Han, B. Yang and B. Luo;;ICAC;2019;;;
;Summary of Cloud Robot Research;Y. Liu and Y. Xu;;ICAC;2019;;;
;Deep Convolutional Neural Network Based Small Space Debris Saliency Detection;J. Tao, Y. Cao, L. Zhuang, Z. Zhang and M. Ding;;ICAC;2019;;;
;A Framework of Human Impedance recognition;J. Luo, C. Liu, Y. Li and C. Yang;;ICAC;2019;;;
;Real-Time Recognition and Tracing of Moving Objects in Video Images using Background Subtraction, Kalman Filter and Particle Filter;A. B. Kwame, G. Liu, H. Liu and F. Hussain;;ICAC;2019;;;
;Numerical Simulation Analysis of Interaction Model between Track and Sandy Road Based on Discrete Element Method;L. Zhou, J. Gao, Q. Li, C. Hu and R. Wang;;ICAC;2019;;;
;Automatic Citrus Fruit Disease Detection by Phenotyping Using Machine Learning;B. Doh, D. Zhang, Y. Shen, F. Hussain, R. F. Doh and K. Ayepah;;ICAC;2019;;;
;A condition monitoring method of wind turbines based on Long Short-Term Memory neural network;B. Feng, D. Zhang, Y. Si, X. Tian and P. Qian;;ICAC;2019;;;
;Model-Free Based Back-Stepping Sliding Mode Control for Wearable Exoskeletons;P. Yang, J. Sun, J. Wang, G. Zhang and Y. Zhang;;ICAC;2019;;;
;Sensor Based Cost Modelling for a Knowledge Support System Development;H. TOKUCOGLU, X. CHEN, A. E. RHALIBI and T. OPOZ;;ICAC;2019;;;
;Geometric Errors and CAD Model Integration Method for Precision Assembly;Q. Zhang, W. Zeng, S. Lou, X. Jin, P. Scott and X. Jiang;;ICAC;2019;;;
;Model Predictive Control for Steering-less EV with four Independent Motors;F. Hussain, Y. Shen, G. Liu and D. Zhang;;ICAC;2019;;;
;Collaborative mobile industrial manipulator: A review of system architecture and applications;M. Yang, E. Yang, R. C. Zante, M. Post and X. Liu;;ICAC;2019;;;
;Abrasive Feature Related Acoustic Emission in Grinding;E. G. Plaza, X. Chen and L. A. Ouarab;;ICAC;2019;;;
;Study on the measurement of global sizes of cylindrical parts using Talyrond 585LT;Z. Zhao, X. Zhao, R. Liu, D. Ren, Y. Cao and W. Zeng;;ICAC;2019;;;
;MOI-Based Stratified Crack Detection: A PCA Approach;L. Tian, Z. Wang and Y. Cheng;;ICAC;2019;;;
;Resilient Recursive State Estimation for Discrete Time-Varying Systems with Deception Attacks;Y. Shen, Z. Wang and B. Shen;;ICAC;2019;;;
;ℓ2-ℓ∞ PID Output-Feedback Control for Discrete Time-Delay Systems;D. Zhao, Z. Wang and G. Wei;;ICAC;2019;;;
;H∞ State Estimation for Neural Networks Subject to Missing Measurements with Uncertain Missing Probabilities;J. Li, Z. Wang and H. Dong;;ICAC;2019;;;
;An Order Inserting Predictive-reactive Batch-splitting Scheduling Method;J. L. Fu, J. J. Tang, R. X. Wang, H. Q. Liang and J. Zhang;;ICAC;2019;;;
;Influence of Exposure Energy Control for High Voltage Pulsed Xenon Lamp on the Lithography Accuracy of Linear Grating;D. Ren, Z. Zhao, B. Li and W. Zeng;;ICAC;2019;;;
;A Novel Multi-terminal Fault Location Method based on Traveling Wave Time Difference for Active Distribution Network;D. Feng, Z. Xiangjun, M. Yu, Z. Yarui and M. Longjun;;ICAC;2019;;;
;Fault diagnosis for wind turbine systems using a neural network estimator;K. Madubuike, C. Mayhew, Q. Zhang, B. Gomm and D. -L. Yu;;ICAC;2019;;;
;Fault diagnosis for wind turbine systems using unknown input observer;K. Madubuike, C. Mayhew, Q. Zhang, B. Gomm and D. -L. Yu;;ICAC;2019;;;
;Upper limb muscle strength prediction based on motion capture and sEMG data;T. Qing et al.;;ICAC;2019;;;
;Eigenvalue Analysis and Case Study Examples of Fractional Order Generalised Predictive Control;Y. Alarfaj and C. J. Taylor;;ICAC;2019;;;
;Relia-MAC: Timely and Reliable Communication for Safety Critical Applications of VANET;J. Aredla, S. Zhang and E. Liu;;ICAC;2019;;;
;An Adaptive and Reliable Communication Method for Road Safety Applications of VANET;J. Aredla, S. Zhang and E. Liu;;ICAC;2019;;;
;A Hybrid Method for Secure and Reliable Transmission on Industrial Automation and Control Networks in Industry 4.0;T. Karimireddy and S. Zhang;;ICAC;2019;;;
;Modelling and Simulation of Cutting Process by Smoothed Particle Hydrodynamics (SPH): A Review;Z. Wang, Y. Cai and X. Luo;;ICAC;2019;;;
;Using Machine Learning Techniques to Optimize Fall Detection Algorithms in Smart Wristband;G. Zheng, H. Zhang, K. Zhou and H. Hu;;ICAC;2019;;;
;Integrated deep learning model for predicting electrical power generation from wave energy converter,;C. Ni, X. Ma and J. Wang;;ICAC;2019;;;
;A Teleoperated Shared Control Approach with Haptic Feedback for Mobile Assistive Robot,;Z. Lin, J. Luo and C. Yang;;ICAC;2019;;;
;Inspection Robots in Oil and Gas Industry: a Review of Current Solutions and Future Trends;L. Yu et al.;;ICAC;2019;;;
;DDoS in IoT: A Roadmap Towards Security & Countermeasures;A. Roohi, M. Adeel and M. A. Shah,;;ICAC;2019;;;
;A Novel Model for HD video calling in 5G Networks;S. Munir, M. J. Shah, M. Umer, M. A. Shah and M. A. Javed;;ICAC;2019;;;
;A Survey on secure routing strategies in VANETs;A. khan, M. Ishtiaq, S. Anwar and M. A. Shah;;ICAC;2019;;;
;Smart Cities: Methods, Encounters & Hunt for Future - Survey;H. Ali, R. Qazi and M. A. Shah;;ICAC;2019;;;
;Novel Equivalent Physical Simulation Model of a Compressed Air Energy Storage System and Its Implementation;D. WANG et al.;;ICAC;2019;;;
;Mathematical Modelling of Large-Scale Compressed Air Energy Storage Systems;C. Li et al.;;ICAC;2019;;;
;Hybrid micromachining - a paradigm shift in micromanufacturing;X. Luo;;ICAC;2018;;;
;Output Feedback Stabilization for Dynamic MIMO Semi-linear Stochastic Systems with Output Randomness Attenuation;Q. Zhang, L. Hu and J. Gow;;ICAC;2018;;;
;Integrated Power Management for Energy Harvesters in Aircraft;M. Alsader and A. Savvaris;;ICAC;2018;;;
;A Reversible and Imperceptible Watermarking Scheme for MR Images Authentication;A. F. Qasim, F. Meziane and R. Aspin;;ICAC;2018;;;
;Design of Two Segments Continuum Robot Arm Based on Pneumatic Muscle Actuator (PMA);A. Al-Ibadi, S. Nefti-Meziani, S. Davis and T. Theodoridis;;ICAC;2018;;;
;Review on the Research of Regenerative Shock Absorber;P. Zheng, J. Gao, R. Wang, J. Dong and J. Diao;;ICAC;2018;;;
;Automated Glioma Grading based on an Efficient Ensemble Design of a Multiple Classifier System using Deep Iteration Neural Networks Matrix;A. Al-Zurfi, F. Meziane and R. Aspin;;ICAC;2018;;;
;Performance Evaluation of String Based Malware Detection Methods;F. Mira and W. Huang;;ICAC;2018;;;
;Partially Decentralized Controller Design in Terms of Disturbance Rejection: From Square System to Non-square System;Q. Jin, W. Cai and X. Du;;ICAC;2018;;;
;Parameter matrix σ-inverse in design of structurally stable pole-free perfect control for state-space systems;W. P. Hunek and M. Krok;;ICAC;2018;;;
;Research on Manufacturing Resources Optimal Allocation Strategy of 3D Printing Cloud Service Platform;F. Cheng, S. Yu, J. Chu and J. Fan;;ICAC;2018;;;
;A Source-Load Coordination Scheduling Strategy Based on PSO algorithm and Parallel Computing;W. Yang, S. Miao, Y. Li, B. Yin and J. Liu;;ICAC;2018;;;
;Failure Prediction for an Exothermic Semi-batch Reactor via A combined EKF with Statistical Method;H. Qi, A. Ertiame, K. Madubaike, D. -L. Yu and J. B. Gomm;;ICAC;2018;;;
;Nonlinear Observer Fault Detection for a Multivariable Process Using a Learning Methodology;H. Qi, A. Ertiame, K. Madubuike, D. -L. Yu and J. B. Gomm;;ICAC;2018;;;
;SNPs-based Hypertension Disease Detection via Machine Learning Techniques;R. Alzubi, N. Ramzan, H. Alzoubi and S. Katsigiannis;;ICAC;2018;;;
;Design and Implementation of Micromirror Drive Control System For MEMS Based NIR Spectrometer;P. Qiao, D. Niu, J. Wang, X. Wang, X. Chen and X. Wang;;ICAC;2018;;;
;Control of Waste Water Treatment as a Flow Machine: A Case Study;S. Al-Fedaghi and R. Al-Azmi;;ICAC;2018;;;
;Modeling Cloud Based Cyber Physical Systems Based on AADL;L. Zhang;;ICAC;2018;;;
;Scheduling Algorithms for Cloud Based Cyber-Physical Systems Specification;L. Zhang, D. Lai, B. Xu and C. Liu;;ICAC;2018;;;
;Spatio-Temporal Specification for Mobile Cyber Physical Systems;L. Zhang;;ICAC;2018;;;
;FPL-An End-to-End Face Parts Labeling Framework;K. Khan, I. Syed, M. S. Khan, M. E. Mazhar, I. Uddin and N. Ahmad;;ICAC;2018;;;
;NDN Based Communication for Fragmented Network: The Case of Smart Metropolitan (MAN);O. A. Khan et al.;;ICAC;2018;;;
;Cascade Principal Component Least Squares Neural Network Learning Algorithm;W. A. Khan, S. -H. Chung and C. Y. Chan;;ICAC;2018;;;
;Sentiment Analysis of Text Based on CNN and Bi-directional LSTM Model;K. Zhou and F. Long;;ICAC;2018;;;
;Selective Ensemble Learning based Human Action Recognition Using Fusing Visual Features;C. Tang, R. Stolkin, C. Hu, H. Hu, X. Wang and L. Zou;;ICAC;2018;;;
;A Bucket-Tree Based Algorithm for Automated Reasoning;C. Hu, G. Lv and X. Wang;;ICAC;2018;;;
;Optimizing Pump Scheduling for Water Supply through Improved Multiple Population Genetic Algorithm;D. Niu, Z. Kuang, X. Chen, S. Wei, J. Yang and X. Wang;;ICAC;2018;;;
;PPG based Respiration Signal Estimation using VMDPCA;H. Ye, J. Zhu, Y. Cheng, D. Xue, B. Wang and Y. Peng;;ICAC;2018;;;
;Column Level Image Authentication Technique using Hidden Digital Signatures;S. Khan, M. Wahid, T. Khan, N. Ahmad and M. H. Zafar;;ICAC;2018;;;
;A Survey of the Probability Density Function Control for Stochastic Dynamic Systems;M. Ren, Q. Zhang and J. Zhang;;ICAC;2018;;;
;Evaluation of human upper limb motion comfort based on motion capture system;T. Qing, L. Zhao-Bo and K. Jinsheng;;ICAC;2018;;;
;A review of high-level robot functionality for elderly care;N. Sun, E. Yang, J. Corney, Y. Chen and Z. Ma;;ICAC;2018;;;
;Selective Mapping:Implementation of PAPR Reduction Technique in OFDM on SDR Platform;H. Iqbal and S. A. Khan;;ICAC;2018;;;
;A model based on eye movement data and artificial neutral network for product styling evaluation;W. Li, L. Wang, L. Wang and J. Jing;;ICAC;2018;;;
;Adaptive Transmission Power - Geographical and Energy Aware Routing Algorithm for Wireless Sensor Networks;M. F. Ali and M. A. Shah;;ICAC;2018;;;
;Diagnosing the Change in the Internal Clearances of Rolling Element Bearings based on Vibration Signatures;K. Rabeyee, X. Tang, Y. Xu, D. Zhen, F. Gu and A. D. Ball;;ICAC;2018;;;
;Cost Minimization Control for Smart Electric Vehicle Car Parks;X. Su and H. Yue;;ICAC;2018;;;
;Vision Based Object Grasping of Robotic Manipulator;Y. Ren, H. Sun, Y. Tang and S. Wang;;ICAC;2018;;;
;Predicting Temperatures of Wind Turbine Gearbox By a Variable-Weight Combined Model;T. Liang, G. Yang, Y. Dong, S. Qian and Y. Xu;;ICAC;2018;;;
;DocNet: A document embedding approach based on neural networks;Z. Mo and J. Ma;;ICAC;2018;;;
;Prediction of Diabetes Using Machine Learning Algorithms in Healthcare;M. A. Sarwar, N. Kamal, W. Hamid and M. A. Shah;;ICAC;2018;;;
;AWS Support in Open Source Mano Monitoring Module;W. Hamid and M. A. Shah;;ICAC;2018;;;
;Integrated Architecture of Data Warehouse with Business Intelligence Technologies;C. A. Ul Hassan, R. Irfan and M. A. Shah;;ICAC;2018;;;
;Mapping dynamic environments using Markov random field models;H. Li, M. Barão and L. Rato;;ICAC;2018;;;
;Comparison of Machine Learning Algorithms in Data classification;C. A. Ul Hassan, M. S. Khan and M. A. Shah;;ICAC;2018;;;
;Implementation of Timestamped Pulse-Coupled Oscillators in IEEE 802.15.4 Networks;Y. Zong, K. Luo, X. Dai and Z. Gao;;ICAC;2018;;;
;Software Cost and Effort Estimation using a New Optimization Algorithm Inspired by Strawberry Plant;M. S. Khan, C. A. ul Hassan, M. A. Shah and A. Shamim;;ICAC;2018;;;
;A Review of Smartphone's Text Entry for Visually Impaired;H. Shahid, M. Ali Shah, B. K. Dar and F. Fizzah;;ICAC;2018;;;
;Statistical Topic Modeling for Urdu Text Articles;A. U. Rehman, Z. Rehman, J. Akram, W. Ali, M. A. Shah and M. Salman;;ICAC;2018;;;
;Intelligent Transport System: An Important Aspect of Emergency Management in Smart Cities;F. Malik, M. A. Shah and H. A. Khattak;;ICAC;2018;;;
;A methodology to characterize and compute correlation between traffic congestion and health issues via social media;S. Bibi, M. A. Shah, B. Z. Abbasi and S. Hussain;;ICAC;2018;;;
;Skeleton Marching: A High-performance Parallel Vascular Geometry Reconstruction Technique;Q. QI, Q. LI and Q. HONG;;ICAC;2018;;;
;An Architecture for Fog Computing Enabled Emergency Response and Disaster Management System (ERDMS);B. K. Dar, M. A. Shah, H. Shahid, F. Fizzah and Z. Amjad;;ICAC;2018;;;
;A Novel Framework for Plagiarism Detection: A Case Study for Urdu Language;W. Ali et al.;;ICAC;2018;;;
;Survey on Causes of Motion Sickness in Virtual Reality;U. A. Chattha and M. A. Shah;;ICAC;2018;;;
;Develop of AGV Platform to Support The Arrangement of Cargo in Storehouse;H. A. M. Tran, H. Q. T. Ngo, T. P. Nguyen and H. Nguyen;;ICAC;2018;;;
;Collaborative supporting tool: Integrating social media and mobile groupware into an integrated learning environment;N. Zabidi, W. Wang and D. -L. Xu;;ICAC;2018;;;
;Fault Diagnosis of Planetary Gearboxes via Processing the On-Rotor MEMS Accelerometer Signals;Z. Mones, D. Zhen, I. Alqatawneh, Q. Zeng, F. Gu and A. D. Ball;;ICAC;2018;;;
;Vibration Analysis of Journal Bearings under Water Contaminated Lubrication;J. Ma, H. Zhang, Z. Shi, V. Kontogiorgos, F. Gu and A. Ball;;ICAC;2018;;;
;A Review on Energy Harvesting Supplying Wireless Sensor Nodes for Machine Condition Monitoring;X. Tang, Z. Mones, X. Wang, F. Gu and A. D. Ball;;ICAC;2018;;;
;Estimating the 2D Static Map Based on Moving Stereo Camera;S. M. Saleh, S. A. Khwandah, W. Hardt, M. Hilbrich and P. I. Lazaridis;;ICAC;2018;;;
;Inferential Estimation of Polymer Melt Index Using Deep Belief Networks;C. Zhu and J. Zhang;;ICAC;2018;;;
;A VANET based Smart Car Parking System to Minimize Searching Time, Fuel Consumption and CO2 Emission;M. U. Rehman, M. A. Shah, M. Khan and S. Ahmad;;ICAC;2018;;;
;A New Direct Heart Sound Segmentation Approach using Bi-directional GRU;T. Fan, J. Zhu, Y. Cheng, Q. Li, D. Xue and R. Munnoch;;ICAC;2018;;;
;EK-Healthcare: Effectiveness of IoT in the Medical Field with Enhanced Features;R. Rashid and M. A. Shah;;ICAC;2018;;;
;A Novel Technique for Image Super Resolution Based on Sparse Representations and Compact Entity Extraction;M. A. Irfan, S. Khan, S. A. Hassan and N. Ahmad;;ICAC;2018;;;
;Compliant Impedance Control for a Redundant Manipulator During Human Robot Interaction;Y. Jiang, C. Yang, Z. Ju, A. Annamalai and H. Liu;;ICAC;2018;;;
;A Novel Authentication and Security Protocol for Wireless Adhoc Networks;U. Amin and M. A. Shah;;ICAC;2018;;;
;Received Signal Strength Intensity Based Localization of Partial Discharge in High Voltage Systems;U. Khan et al.;;ICAC;2018;;;
;Condition Monitoring and Fault Diagnosis Based on Multipoint Optimal Minimum Entropy Deconvolution Adjusted Technique;I. Alqatawneh, J. Kuosheng, Z. Mones, Q. Zeng, F. Gu and A. D. Ball;;ICAC;2018;;;
;Empirical Mode Decomposition of Motor Current Signatures for Centrifugal Pump Diagnostics;S. Alabied, U. Haba, A. Daraz, F. Gu and A. D. Ball;;ICAC;2018;;;
;Design of Wireless Power Charging System for Driverless Pod Application;M. S. Issa, A. Onsy, M. S. Hamad and A. El-Zonkoly;;ICAC;2018;;;
;Optimization of Echo State Networks by Covariance Matrix Adaption Evolutionary Strategy;K. Liu and J. Zhang;;ICAC;2018;;;
;Interference Management Scheme for Co-channel Femtocells;S. A. Khwandah, J. P. Cosmas, Z. D. Zaharis, P. I. Lazaridis, I. A. Glover and S. M. Saleh;;ICAC;2018;;;
;Optimization of Real-Time Transmission Reliability on Wireless Industrial Automation Networks;T. Karimireddy and S. Zhang;;ICAC;2018;;;
;Improvement of Driverless Cars' Passengers on Board Health and Safety, using Low-Cost Real-Time Heart Rate Monitoring System;R. M. Fouad, A. Onsy and O. A. Omer;;ICAC;2018;;;
;Study of Brain Signal Extraction, Processing and Implementation;M. M. Ali, A. Griffiths and M. S. Hasan;;ICAC;2018;;;
;Development of a Driverless Personal Mobility Pod;J. T. Philip, O. H. Rashed, A. Onsy and M. R. Varley;;ICAC;2018;;;
;Detection and Diagnosis of Centrifugal Pump Bearing Faults Based on the Envelope Analysis of Airborne Sound Signals;A. Daraz, S. Alabied, A. Smith, F. Gu and A. D. Ball;;ICAC;2018;;;
;Joint Self-learning and Fuzzy Clustering Algorithm for Early Warning Detection of Railway Running Gear Defects;H. Yao, C. Ulianov and F. Liu;;ICAC;2018;;;
;The Development of an Automatic Inspection System Used for the Maintenance of Rail Tunnels;E. Leonidas and Y. Xu;;ICAC;2018;;;
;Real Time Detection of Traffic Signal Running State and Remote Alarm for Fault Information at Road Intersection;B. Wang et al.;;ICAC;2018;;;
;Diagnosing Lubricant Shortages in Gearboxes Using Instantaneous Phases from Electrical Signals;N. Hamad, X. Sun, R. Zhang, S. Abusaad, F. Gu and A. D. Ball;;ICAC;2018;;;
;Internet of Things — Security threats and challenges in M2M Devices;S. M. Abdullah and M. A. Shah;;ICAC;2018;;;
;Performance Monitoring and Fault Diagnosis of Vacuum Pumps based on Airborne Sounds;R. Appadoo, Y. Xu, F. Gu and A. D. Ball;;ICAC;2018;;;
;Detection of Parkinson Disease in Brain MRI using Convolutional Neural Network;P. M. Shah, A. Zeb, U. Shafi, S. F. A. Zaidi and M. A. Shah;;ICAC;2018;;;
;Image Classification Using Generalized Multiscale RBF Networks and Discrete Cosine Transform;C. B. Perez and H. -L. Wei;;ICAC;2018;;;
